,Y,X,id,gid,lst_rank,address,A8,가능여부,elec_charger
0,37.55270786,127.0975233,168,다사644504,2,대한민국 서울특별시 광진구 구의동 4-21,"시, 도유지",O,X
1,37.54007752,127.0941954,176,다사641490,2,대한민국 서울특별시 광진구 구의동 199-18,"시, 도유지",O,O
2,37.5373657,127.0919463,1032,다사639487,2,대한민국 서울특별시 광진구 구의제3동 강변역로2길 18,"시, 도유지",O,X
3,37.53367583,127.0681975,215,다사618483,2,대한민국 서울특별시 광진구 자양동 855-1,국유지,O,X
4,37.54631509,127.0737848,245,다사623497,2,대한민국 서울특별시 광진구 화양동 111-265,"시, 도유지",O,X
5,37.53556303,127.0919561,423,다사639485,2,대한민국 서울특별시 광진구 구의동 587-64,"시, 도유지",O,O
6,37.56710193,127.0895194,517,다사637520,2,대한민국 서울특별시 광진구 중곡동 176-47,"시, 도유지",O,X
7,37.53908798,127.0692982,645,다사619489,1,대한민국 서울특별시 광진구 자양동 2-21,국유지,O,X
8,37.53999344,127.070425,885,다사620490,2,대한민국 서울특별시 광진구 화양동 6-12,군유지,O,X
9,37.54543807,127.080582,992,다사629496,1,대한민국 서울특별시 광진구 화양동 302-2,국유지,O,X
10,37.54544209,127.081714,1127,다사630496,2,"대한민국 서울특별시 광진구 광나루로 474, 507","시, 도유지",O,X
11,37.53910032,127.072694,1464,다사622489,2,대한민국 서울특별시 광진구 자양동 227-10,"시, 도유지",O,X
12,37.55271171,127.0986554,1532,다사645504,2,대한민국 서울특별시 광진구 구의동 4-19,"시, 도유지",O,X
13,37.54550869,127.1009581,1626,다사647496,2,대한민국 서울특별시 광진구 천호대로 788,군유지,O,O
14,37.5390921,127.0704301,1691,다사620489,2,대한민국 서울특별시 광진구의회,군유지,O,X
15,37.56439793,127.0895342,1152,다사637517,2,대한민국 서울특별시 광진구 중곡동 176-60,"시, 도유지",O,X
16,37.5662006,127.0895243,1306,다사637519,2,대한민국 서울특별시 광진구 용마산로22길 76,"시, 도유지",O,X
17,37.55181038,127.0986603,1414,다사645503,2,대한민국 서울특별시 광진구 광장동 381-80,"시, 도유지",O,X
18,37.55180652,127.0975282,1791,다사644503,1,대한민국 서울특별시 광진구 구의동 4-14,"시, 도유지",O,X
